path,sha256,size_bytes,subject_id,session_id,trial_id,experiment_id,acquisition_timestamp,acquisition_timestamp_source,processing_version,record_type_sample,notes
logs/agent_log.jsonl,71ad0d9abd4f2c8541403892387cd5a91fbf478d65e761748e07b1849e1124dc,1709423,P04,bc384003-5529-43ef-b046-24e4fcba22e9,,,2026-07-15T16:03:19.602837+00:00,record field (ts_utc/generated_at_utc of first record),1.0,agent_exchange,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/browdiag_20260704_090042.jsonl,16772df971d24eaf04d84a0e9491b8fea79e7854195dfd9e79b6b62499d3baaf,82630,,,,,2026-07-04T03:31:02.066749+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/browonly_20260703_224400.jsonl,ddbb5c1c21a817a7a8feabedd45b2c111cca56beb98b8fc05438423ac9b3be49,178428,,,,,2026-07-03T17:14:34.924728+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/browonly_controlled_20260704_090428.jsonl,eec9fb1859e64a434735a0ae213cd66e1423e1435da75f15c8193661d993a15d,245512,,,,,2026-07-04T03:35:03.263983+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/calib_repeat_20260704_101118.json,1d50faf08d9e1fa56f8b6c01cba20b9e28c26c4f7d7b3d7c5fb1b4d878c26a68,4584,,,,,2026-07-04T04:43:03.426127+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: single JSON document (array)"
logs/consent_log.jsonl,598ccb42100ecb804ac419dce08f5c730c6f4351324b93dc6cadaec05d75e0f6,7518,,990d58ac-df49-4e20-a3b3-5f8088a0a3de,,,2026-07-04T14:52:40.064915+00:00,record field (ts_utc/generated_at_utc of first record),,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/experimental_signals_log.jsonl,46d19f3195784cb849b288153471c4394df3ced7d034289b7d9de4842df2e1e8,819573,TEST4,21bd4059-13e4-48b8-8c0b-1b7d77056989,,,2026-08-09T08:20:41.307990+00:00,record field (ts_utc/generated_at_utc of first record),1.0,experimental_signals_window,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/gate2_trials.jsonl,8e436cf299744aaa5aa9fa4334674c5cfdc3f8adb0248c021cdf70aca49ee237,195556,P01,b09ceab0-882a-4917-96ba-90f119acf776,,,2026-07-05T11:50:49.754993+00:00,record field (ts_utc/generated_at_utc of first record),1.0,gate2_trial,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/gate2_trials_backup.jsonl,8e436cf299744aaa5aa9fa4334674c5cfdc3f8adb0248c021cdf70aca49ee237,195556,P01,b09ceab0-882a-4917-96ba-90f119acf776,,,2026-07-05T11:50:49.754993+00:00,record field (ts_utc/generated_at_utc of first record),1.0,gate2_trial,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/gate2_trials_relabeled.jsonl,7cca422f499820cc5929078da7126a8756648d18dc7d1c9c3a3550e3f4ed4b0b,195556,P01,b09ceab0-882a-4917-96ba-90f119acf776,,,2026-07-05T11:50:49.754993+00:00,record field (ts_utc/generated_at_utc of first record),1.0,gate2_trial,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
